id,name,type,description,rarity,height,width,price
108,铜斧,tool,,green,3,2,6173
109,铜镐,tool,,green,3,2,6623
110,铜锹,tool,,green,3,1,5565
111,桶,tool,,green,2,2,4988
112,挽具,tool,,green,2,2,5250
113,望远镜,tool,,green,3,2,6494
114,细雪桶,tool,,green,2,2,5198
115,下界合金锄,tool,,red,1,5,1113750
116,下界合金斧,tool,,red,3,2,567669
117,下界合金镐,tool,,red,3,2,534601
118,下界合金锹,tool,,red,3,1,1125000
119,鳕鱼桶,tool;food,,green,2,2,4935
120,运输船,tool,,green,2,3,6623
121,指南针,tool,,green,2,2,5040
122,追溯指针,tool,,green,2,2,4988
123,钻石锄,tool,,purple,4,1,100649
124,钻石斧,tool,,purple,3,2,66228
125,钻石镐,tool,,purple,3,2,62370
126,钻石锹,tool,,purple,3,1,105000
127,按钮,tech,,blue,1,1,8265
128,斑驳的铜灯,tech,,blue,2,1,12919
129,绊线,tech,,blue,2,2,17922
130,绊线钩,tech,,blue,2,2,16704
131,避雷针,tech,,blue,2,2,16878
132,标靶,tech,,blue,2,2,16704
133,发射器,tech,,blue,2,2,16530
134,合成器,tech,,blue,2,2,17226
135,红石比较器,tech,,purple,2,2,141624
136,红石灯,tech,,purple,2,1,142985
137,红石粉,tech,,purple,1,1,101263
138,红石火把,tech;decoration,,purple,2,2,143115
139,红石块,tech;decoration,,purple,2,2,76825
140,红石中继器,tech,,purple,2,2,109701
141,活塞,tech,,blue,2,2,16704
142,拉杆,tech,,blue,2,2,16356
143,漏斗,tech,,blue,2,2,17574
144,磨制黑石压力板,tech;decoration,,blue,1,1,8526
145,木门,decoration,,green,3,2,5092
146,木质活板门,decoration,,green,3,2,4938
147,木质压力板,tech;decoration,,blue,1,1,8178
148,黏性活塞,tech,,blue,2,2,18444
149,轻质测重压力板,tech;decoration,,blue,1,1,8700
150,石头压力板,tech;decoration,,green,1,1,3106
151,铁活板门,decoration,,green,3,2,7720
152,铁门,decoration,,green,3,2,9080
153,铜灯,tech,,purple,2,1,43063
154,铜门,decoration,,green,3,2,7810
155,铜质活板门,decoration,,green,3,2,7810
156,投掷器,tech,,blue,2,2,17400
157,陷阱箱,decoration,,green,2,2,4158
158,校频幽匿感测体,magic,,purple,2,2,82992
159,阳光探测器,tech,,blue,2,2,16878
160,音符盒,decoration,,green,2,2,4032
161,幽匿感测体,magic,,purple,2,2,83790
162,栅栏门,decoration,,green,3,2,5195
163,侦测器,tech,,blue,2,2,16878
164,钟,decoration,,green,2,2,4326
165,重质测重压力板,tech;decoration,,blue,1,1,8352
166,TNT,tech,,blue,2,2,18444
167,安山岩,decoration,,green,2,2,4284
168,玻璃,decoration,,gray,2,2,1188
169,草方块,natural;decoration,,gray,2,2,1188
170,缠根泥土,natural;decoration,,gray,2,2,1270
171,雕纹凝灰岩,natural;decoration,,green,2,2,4284
172,雕纹凝灰岩砖,decoration;natural,,green,2,2,4158
173,雕纹树脂砖块,decoration,,green,2,2,4032
174,干草块,natural;decoration,,gray,2,2,1200
175,干海带块,food;decoration;natural,,green,2,2,4158
176,骨块,decoration,,green,2,2,4200
177,诡异疣块,decoration,,green,2,2,4452
178,海绵,decoration,,green,2,2,4326
179,黑曜石,decoration,,green,2,2,5200
180,红色下界砖块,decoration,,blue,2,2,12600
181,红沙,decoration,,gray,2,2,1164
182,红砂岩,decoration,,green,2,2,4656
183,红树根,natural;decoration,,green,2,2,4158
184,花岗岩,natural;decoration,,gray,2,2,1224
185,灰化土,decoration,,green,2,2,4452
186,混凝土,decoration,,green,2,2,4032
187,混凝土粉末,decoration,,green,2,2,4032
188,菌丝,natural;decoration,,green,2,2,4284
189,哭泣的黑曜石,decoration,,green,2,2,7600
190,裂纹深板岩瓦,decoration,,green,2,2,4116
191,裂纹深板岩砖,decoration,,green,2,2,3990
192,裂纹石砖,decoration,,green,2,2,4158
193,灵魂沙,decoration,,green,2,2,4200
194,楼梯,decoration,,green,2,2,4326
195,磨制安山岩,decoration,,green,2,2,4200
196,磨制花岗岩,natural;decoration,,gray,2,2,1220
197,磨制凝灰岩,natural;decoration,,green,2,2,4368
198,磨制闪长岩,decoration,,green,2,2,4284
199,磨制深板岩,decoration,,green,2,2,4284
200,末地石,decoration,,blue,2,2,12240
201,末地石砖,decoration,,blue,2,2,11880
202,南瓜灯,decoration,,gray,2,1,2970
203,泥坯,decoration,,green,2,2,4032
204,泥土,decoration,,gray,2,2,1210
205,黏土块,decoration,,green,2,2,4410
206,凝灰岩砖,decoration;natural,,green,2,2,4326
207,平滑红砂岩,decoration,,green,2,2,4368
208,平滑砂岩,decoration,,green,2,2,3990
209,平滑石头,decoration,,gray,2,2,1320
210,平滑石英块,decoration;ore,,green,2,2,5840
211,切制红砂岩,decoration,,green,2,2,4410
212,切制砂岩,decoration,,green,2,2,4032
213,去皮竹块,decoration,,green,2,2,4200
214,染色玻璃,decoration,,gray,2,2,1236
215,沙砾,decoration,,gray,2,2,1188
216,沙子,decoration,,gray,2,2,1236
217,砂土,decoration,,green,2,2,4410
218,砂岩,decoration,,green,2,2,4944
219,闪长岩,decoration,,green,2,2,4368
220,深板岩,decoration,,green,2,2,4368
221,深板岩瓦,decoration,,green,2,2,4368
222,深板岩圆石,decoration,,gray,2,2,1220
223,深板岩砖,decoration,,green,2,2,4242
224,湿海绵,decoration,,green,2,2,4284
225,石头,decoration,,gray,2,2,1236
226,石英块,decoration;ore,,green,2,2,5727
227,石英柱,ore,,green,2,1,4280
228,石英砖,decoration;ore,,green,1,1,4120
229,石砖,decoration,,green,2,2,4410
230,树脂砖块,decoration,,green,2,2,4200
231,苔石砖,decoration,,green,2,2,4032
232,陶瓦,decoration,,green,2,2,4452
233,蛙明灯,decoration,,gray,2,1,2881
234,细雪,decoration,,green,2,2,4116
235,下界岩,decoration,,blue,2,2,11880
236,下界疣块,decoration,,blue,2,2,11520
237,下界砖块,decoration,,blue,2,2,11880
238,錾制红砂岩,decoration,,green,2,2,3990
239,錾制砂岩,decoration,,green,2,2,4158
240,錾制深板岩,decoration,,green,2,2,4074
241,錾制石英块,decoration;ore,,green,2,2,5330
242,錾制石砖,decoration,,green,2,2,4116
243,沾泥的红树根,natural;decoration,,green,2,2,3948
244,竹块,decoration,,green,2,2,4242
245,竹马赛克,decoration,,gray,2,2,3948
246,光灵箭,equipment;loot,,purple,2,2,150791
247,知识之书,book;magic;loot,,gold,4,4,631750
248,玻璃瓶,decoration;magic,,blue,2,2,23256
249,恶魂之泪,loot;magic,,gold,4,2,665000
250,发酵蛛眼,magic,,blue,2,2,23028
251,幻翼膜,loot;magic,,gold,3,4,638400
252,炼药锅,magic,,blue,2,2,23712
253,烈焰粉,magic,,purple,1,1,38703
254,龙息,magic,,purple,2,2,83790
255,酿造台,magic,,blue,2,2,22116
256,喷溅型药水,magic,,blue,2,2,22116
257,闪烁的西瓜片,food;magic,,purple,1,1,40698
258,水瓶,magic,,blue,2,2,21432
259,兔子脚,loot;magic,,gold,2,5,625100
260,岩浆膏,magic,,blue,2,2,23940
261,药水,magic,,blue,2,2,21432
262,滞留型药水,magic,,blue,2,2,21432
263,暗海晶石,decoration,,green,2,2,4284
264,斑驳的铜格栅,decoration,,green,2,2,4368
265,粗金块,decoration;ore,,blue,2,2,56700
266,粗铁块,decoration;ore,,green,2,2,28800
267,绯红菌核,natural;decoration,,green,2,2,3948
268,诡异菌核,natural;decoration,,green,2,2,4032
269,海晶灯,decoration,,green,2,1,5800
270,海晶石,decoration,,green,2,2,4410
271,海晶石砖,decoration,,green,2,2,4330
272,脚手架,decoration;book,,green,1,1,2241
273,金块,decoration;ore,,blue,2,2,69255
274,裂纹磨制黑石砖,decoration,,green,2,2,4326
275,绿宝石块,decoration;ore,,purple,2,2,239841
276,煤炭块,decoration;ore,,green,2,2,26532
277,磨制黑石,decoration,,green,2,2,4158
278,磨制黑石砖,decoration,,green,2,2,4032
279,木板,decoration,,gray,1,1,1130
280,木头,decoration,,gray,2,2,3948
281,泥砖,decoration,,green,2,2,4032
282,青金石块,decoration;ore,,blue,2,2,72171
283,去皮绯红菌柄,natural;decoration,,green,2,2,3948
284,去皮绯红菌核,natural;decoration,,green,2,2,4452
285,去皮诡异菌柄,natural;decoration,,green,2,2,4032
286,去皮诡异菌核,natural;decoration,,green,2,2,3990
287,去皮木头,decoration,,green,2,2,4452
288,去皮原木,natural;decoration,,green,2,2,3948
289,树脂块,decoration,,green,2,2,4326
290,铁块,decoration;ore,,green,2,2,28800
291,铜格栅,decoration,,green,2,2,4158
292,涂蜡的斑驳铜格栅,decoration,,green,2,2,4074
293,涂蜡的铜格栅,decoration,,green,2,2,4326
294,涂蜡的锈蚀铜格栅,decoration,,green,2,2,4450
295,涂蜡的氧化铜格栅,decoration,,green,2,2,4370
296,下界合金块,decoration;ore,,red,4,5,1141065
297,锈蚀的铜格栅,decoration,,green,2,2,4284
298,氧化的铜格栅,decoration,,green,2,2,4160
299,錾制磨制黑石,decoration,,green,2,2,4410
300,錾制下界砖块,decoration,,blue,2,2,12600
301,遮光玻璃,decoration,,gray,2,2,1260
302,紫水晶块,decoration,,green,2,2,7200
303,钻石块,decoration;ore,,purple,2,2,270459
304,不祥之瓶,food,,gray,1,1,2140
305,蛋糕,food;decoration,,green,1,1,2142
306,毒马铃薯,food,,gray,1,1,576
307,蜂蜜瓶,food,,gray,1,1,620
308,腐肉,food,,gray,1,1,612
309,附魔金苹果,food;magic,,gold,1,1,618586
310,干海带,food;natural,,gray,1,1,600
311,河豚,mob,,blue,2,2,16038
312,金胡萝卜,food,,green,1,1,5880
313,金苹果,food,,green,1,1,51200
314,烤马铃薯,food,,gray,1,1,640
315,谜之炖菜,food,,gray,1,1,606
316,面包,food,,gray,1,1,636
317,蘑菇煲,food;natural,,gray,1,1,630
318,奶桶,tool;food,,green,2,2,5460
319,南瓜派,food,,gray,1,1,612
320,牛排,food,,gray,1,1,650
321,苹果,food,,gray,1,1,800
322,曲奇,food,,gray,1,1,588
323,热带鱼,mob,,blue,2,2,15876
324,生鲑鱼,food,,gray,1,1,570
325,生鸡肉,food,,gray,1,1,600
326,生牛肉,food,,gray,1,1,630
327,生兔肉,food,,gray,1,1,570
328,生鳕鱼,food,,gray,1,1,588
329,生羊肉,food,,gray,1,1,590
330,生猪排,food,,gray,1,1,600
331,熟鲑鱼,food,,gray,1,1,580
332,熟鸡肉,food,,gray,1,1,620
333,熟兔肉,food,,gray,1,1,590
334,熟鳕鱼,food,,gray,1,1,610
335,熟羊肉,food,,gray,1,1,640
336,熟猪排,food,,gray,1,1,640
337,甜菜汤,food,,gray,1,1,590
338,甜浆果,food,,gray,1,1,640
339,兔肉煲,food,,gray,1,1,618
340,西瓜片,food,,gray,1,1,640
341,蜘蛛眼,food,,gray,1,1,636
342,紫颂果,food,,gray,1,1,594
343,动力矿车,tech,,blue,2,3,29400
344,动力铁轨,tech,,blue,2,2,17922
345,激活铁轨,tech,,purple,2,2,64554
346,矿车,tech,,blue,2,3,22376
347,漏斗矿车,tech,,blue,2,3,25950
348,命令方块矿车,magic,,red,2,3,3742200
349,探测铁轨,tech,,purple,2,2,61509
350,铁轨,tech,,purple,2,2,59682
351,运输矿车,tech,,blue,2,3,26700
352,TNT矿车,tech,,blue,2,3,28350
353,凋灵骷髅头颅,magic;decoration,,red,5,3,1590649
354,僵尸的头,decoration,,green,2,2,4326
355,骷髅头颅,decoration,,green,2,2,4242
356,苦力怕的头,decoration,,green,2,2,4452
357,龙首,decoration,,green,2,2,52140
358,玩家头颅,decoration,,green,2,2,4326
359,猪灵的头,decoration,,green,2,2,4410
360,红宝石,loot,,blue,2,2,22680
361,箭袋,equipment;loot,,purple,2,2,185220
362,风弹,equipment,,green,2,2,5500
363,弓,equipment,,green,3,2,6736
364,箭,equipment,,green,2,2,5670
365,金剑,equipment,,purple,3,1,49104
366,矛,equipment,,green,2,2,5500
367,木剑,equipment,,green,3,1,4861
368,弩,equipment,,green,3,2,7361
369,三叉戟,equipment,,green,3,2,52540
370,石剑,equipment,,green,3,1,5160
371,铁剑,equipment,,blue,3,1,15150
372,铜剑,equipment,,blue,3,1,13889
373,下界合金剑,equipment,,red,3,1,446142
374,药箭,equipment,,green,2,2,5840
375,重锤,equipment,,green,3,2,249100
376,钻石剑,equipment,,purple,3,1,52540
377,生鱼,food;loot,,blue,1,1,11448
378,熟鱼,food;loot,,blue,1,1,10152
379,不祥试炼钥匙,magic;loot,,gold,5,5,684950
380,唱片残片,loot,,blue,2,2,20736
381,沉重核心,loot,,purple,2,2,244440
382,成书,book;loot,,purple,1,1,40068
383,嘎枝之心,loot,,blue,2,2,21816
384,海龟蛋,decoration;loot,,purple,2,2,74088
385,末影水晶,magic;loot,,gold,2,4,671650
386,青蛙卵,loot,,blue,2,2,22464
387,山羊角,loot,,blue,2,2,22896
388,试炼刷怪笼,mob;magic;loot,,red,2,5,1299600
389,试炼钥匙,magic;loot,,gold,4,3,638400
390,刷怪蛋,mob;magic;loot,,red,3,4,1452997
391,刷怪笼,mob;magic;loot,,red,4,2,1529470
392,音乐唱片,loot,,blue,2,2,21384
393,矮枯草丛,natural,,gray,2,2,1260
394,白桦树苗,natural,,gray,2,1,798
395,白色郁金香,natural,,green,2,2,5400
396,孢子花,natural,,gray,2,2,1176
397,滨菊,natural,,gray,2,2,1220
398,苍白垂须,natural,,gray,2,2,1210
399,苍白橡树树苗,natural,,gray,2,1,806
400,草,natural,,gray,2,2,1190
401,缠怨藤,natural,,gray,2,2,1212
402,橙色郁金香,natural,,green,2,2,11400
403,垂根,natural,,gray,2,2,1224
404,垂泪藤,natural,,gray,2,2,1250
405,丛林树苗,natural,,gray,2,1,891
406,大型垂滴叶,natural,,gray,2,2,1590
407,大型蕨,natural,,gray,2,2,1224
408,凋灵玫瑰,magic;natural,,red,5,5,1812600
409,丁香,natural,,gray,2,2,1430
410,洞穴藤蔓,natural,,gray,2,2,1180
411,杜鹃花丛,natural,,gray,2,2,1240
412,发光地衣,natural,,gray,2,2,1272
413,发光浆果,food;natural,,gray,1,1,640
414,绯红菌索,natural,,gray,2,2,1260
415,粉红色花簇,natural,,gray,2,2,1260
416,粉红色郁金香,natural,,green,2,2,12480
417,高草丛,natural,,gray,2,2,1380
418,高枯草丛,natural,,gray,2,2,1370
419,灌木丛,natural,,gray,2,2,1260
420,诡异菌索,natural,,gray,2,2,1200
421,海草,natural,,gray,2,2,1300
422,海带,food;natural,,gray,1,1,612
423,海泡菜,natural,,gray,2,2,1176
424,红色蘑菇,natural,,gray,2,2,1250
425,红色蘑菇方块,natural;decoration,,green,2,2,4284
426,红色郁金香,natural,,green,2,2,12120
427,红树胎生苗,natural,,gray,2,2,1188
428,火把花,natural;decoration,,gray,2,2,1260
429,金合欢树苗,natural,,green,2,1,6120
430,金蒲公英,natural,,green,2,2,10800
431,蕨,natural,,gray,2,2,1150
432,枯萎的灌木,natural,,gray,2,2,1260
433,枯叶堆,natural,,gray,2,2,1212
434,兰花,natural,,gray,2,2,1176
435,蓝花美耳草,natural,,gray,2,2,1236
436,铃兰,natural,,gray,2,2,1152
437,玫瑰,natural,,gray,2,2,1236
438,玫瑰丛,natural,,gray,2,2,1510
439,蘑菇柄,natural,,gray,2,2,1260
440,牡丹,natural,,gray,2,2,1600
441,瓶子草,natural,,gray,2,2,1236
442,蒲公英,natural,,gray,2,2,1190
443,绒球葱,natural,,gray,2,2,1270
444,深色橡树树苗,natural,,gray,2,1,882
445,盛开的杜鹃花丛,natural,,gray,2,2,1248
446,矢车菊,natural,,gray,2,2,1260
447,睡莲,natural,,gray,2,2,1260
448,藤蔓,natural,,gray,2,2,1190
449,下界菌,natural,,blue,2,2,11400
450,下界苗,natural,,blue,2,2,11640
451,仙人掌,natural,,gray,2,2,1176
452,仙人掌花,natural,,gray,2,2,1272
453,向日葵,natural;book,,green,1,1,2287
454,橡树树苗,natural,,gray,2,1,798
455,小型垂滴叶,natural,,gray,2,2,1176
456,眼眸花,natural,,gray,2,2,1176
457,野花簇,natural,,gray,2,2,1220
458,樱花树苗,natural,,gray,2,1,865
459,萤火虫灌木丛,natural,,gray,2,2,1248
460,幽匿脉络,magic;natural,,purple,2,2,76608
461,虞美人,natural,,gray,2,2,1250
462,云杉树苗,natural,,gray,2,1,899
463,棕色蘑菇,natural,,gray,2,2,1310
464,棕色蘑菇方块,natural;decoration,,green,2,2,4116
465,不死图腾,equipment;magic,,gold,5,4,678300
466,盾牌,equipment,,green,3,2,6528
467,海龟壳,equipment,,green,2,2,5727
468,金护腿,equipment,,purple,3,2,65276
469,金马铠,equipment,,purple,2,2,53865
470,金头盔,equipment,,purple,2,3,65971
471,金胸甲,equipment,,purple,3,3,79947
472,金靴子,equipment,,purple,2,3,65971
473,狼铠,equipment,,green,2,2,5330
474,皮革裤子,loot;equipment,,purple,3,2,93517
475,皮革马铠,equipment;loot,,purple,1,1,117143
476,皮革帽子,loot;equipment,,purple,1,1,133562
477,皮革外套,loot;equipment,,purple,1,1,128324
478,皮革靴子,equipment;loot,,purple,2,3,90739
479,鞘翅,equipment,,gold,5,2,463050
480,锁链护腿,equipment,,green,3,2,12260
481,锁链头盔,equipment,,green,2,3,12030
482,锁链胸甲,equipment,,green,3,3,11680
483,锁链靴子,equipment,,green,2,3,10650
484,铁护腿,equipment,,blue,3,2,20833
485,铁马铠,equipment,,blue,2,2,17172
486,铁头盔,equipment,,blue,2,3,21031
487,铁胸甲,equipment,,blue,3,3,25515
488,铁靴子,equipment,,blue,2,3,21031
489,铜护腿,equipment,,blue,3,2,21031
490,铜马铠,equipment,,blue,2,2,15228
491,铜头盔,equipment,,blue,2,3,18650
492,铜胸甲,equipment,,blue,3,3,25758
493,铜靴子,equipment,,blue,2,3,18650
494,下界合金护腿,equipment,,red,3,2,595226
495,下界合金马铠,equipment,,red,5,2,776118
496,下界合金头盔,equipment,,red,2,3,601178
497,下界合金胸甲,equipment,,red,3,3,729000
498,下界合金靴子,equipment,,red,2,3,601178
499,鹦鹉螺铠,equipment,,green,2,2,5840
500,钻石护腿,equipment,,purple,3,2,69443
501,钻石马铠,equipment,,purple,2,2,128053
502,钻石头盔,equipment,,purple,2,3,70137
503,钻石胸甲,equipment,,purple,3,3,85050
504,钻石靴子,equipment,,purple,2,3,70137
505,白桦树叶,natural;decoration,,gray,2,2,1260
506,玻璃板,decoration,,gray,1,1,910
507,苍白覆地苔藓,natural;decoration,,green,2,2,4368
508,苍白苔藓块,natural;decoration,,green,2,2,4284
509,苍白橡树树叶,natural;decoration,,gray,2,2,1272
510,丛林树叶,natural;decoration,,gray,2,2,1236
511,大型紫晶芽,decoration,,green,2,2,4284
512,带釉陶瓦,decoration,,green,2,2,4368
513,地毯,decoration,,gray,1,1,2079
514,灯笼,decoration,,gray,2,1,3118
515,滴水石锥,decoration,,green,2,2,4368
516,杜鹃树叶,natural;decoration,,gray,2,2,1224
517,蜂蜜块,decoration,,green,2,2,4032
518,覆地苔藓,natural;decoration,,green,2,2,4326
519,告示牌,decoration,,green,3,2,5401
520,耕地,decoration,,green,2,2,4032
521,红树树叶,natural;decoration,,gray,2,2,1236
522,花盆,natural;decoration,,gray,2,2,1212
523,画,decoration,,green,2,2,4242
524,火把,decoration,,green,2,2,4074
525,金合欢树叶,natural;decoration,,green,2,2,11040
526,盔甲架,decoration,,green,2,2,4032
527,蜡烛,decoration,,green,2,2,4158
528,灵魂灯笼,decoration,,gray,2,1,3089
529,灵魂火把,decoration,,green,2,2,4032
530,龙蛋,loot;decoration,,red,4,2,1217201
531,蜜脾块,decoration,,green,2,2,4284
532,末地传送门框架,decoration;multiblock,,gold,4,5,555976
533,末地烛,decoration,,blue,2,2,12720
534,黏液块,decoration,,green,2,2,4158
535,旗帜,decoration,,green,3,2,5298
536,墙,decoration,,green,2,2,4326
537,染色玻璃板,decoration,,gray,1,1,880
538,珊瑚,natural;decoration,,green,2,2,4580
539,珊瑚扇,natural;decoration,,green,2,2,4620
540,深色橡树树叶,natural;decoration,,gray,2,2,1224
541,盛开的杜鹃树叶,natural;decoration,,gray,2,2,1248
542,失活的珊瑚,natural;decoration,,green,2,2,4284
543,失活的珊瑚扇,natural;decoration,,green,2,2,4452
544,失水恶魂,decoration,,green,2,2,13080
545,饰纹陶罐,decoration,,gray,2,2,3948
546,锁链,decoration,,green,2,2,8910
547,苔藓块,natural;decoration,,green,2,2,4242
548,梯子,decoration,,gray,2,1,3029
549,铁栏杆,decoration,,green,2,2,4032
550,铜火把,decoration,,green,2,2,4284
551,土径,decoration,,green,2,2,4242
552,物品展示框,decoration,,green,2,2,4410
553,橡树树叶,natural;decoration,,gray,2,2,1260
554,小型紫晶芽,decoration,,green,2,2,4410
555,嗅探兽蛋,decoration,,green,2,2,3990
556,悬挂式告示牌,decoration,,green,3,2,4938
557,雪,decoration,,green,2,2,4410
558,樱花树叶,natural;decoration,,gray,2,2,1300
559,荧光物品展示框,decoration,,green,2,2,4032
560,云杉树叶,natural;decoration,,gray,2,2,1248
561,栅栏,decoration,,gray,2,1,3000
562,展示架,decoration,,green,2,2,4368
563,蜘蛛网,decoration,,green,2,2,3990
564,中型紫晶芽,decoration,,green,2,2,4200
565,紫水晶母岩,decoration,,green,2,2,12480
566,宝库,magic,,blue,2,2,22800
567,唱片机,loot,,blue,2,2,22464
568,潮涌核心,magic;multiblock,,red,4,4,1395360
569,床,decoration,,green,4,3,7493
570,磁石,decoration,,gray,2,2,3948
571,锻造台,decoration,,green,2,2,4368
572,堆肥桶,tool,,green,2,2,5460
573,蜂巢,decoration,,green,2,2,4158
574,蜂箱,decoration,,green,2,2,4158
575,附魔台,magic,,purple,2,2,82992
576,高炉,decoration,,green,2,2,4116
577,工作台,decoration,,green,2,2,4326
578,讲台,decoration,,green,2,2,4410
579,开裂的铁砧,decoration,,green,2,2,6380
580,灵魂营火,decoration,,green,2,2,4452
581,命令方块,tech;decoration;loot,,red,1,2,1249480
582,末影箱,magic,,purple,2,2,83790
583,木桶,tool,,green,2,2,5250
584,潜影盒,decoration,,green,2,2,19800
585,切石机,decoration,,green,2,2,4032
586,熔炉,decoration,,green,2,2,4326
587,砂轮,decoration,,green,2,2,4326
588,损坏的铁砧,decoration,,green,2,2,7070
589,铁砧,decoration,,green,2,2,6380
590,箱子,decoration,,green,2,2,4452
591,信标,magic;multiblock,,red,4,4,1381680
592,烟熏炉,decoration,,gray,2,2,3948
593,营火,decoration,,gray,2,2,3948
594,幽匿催发体,magic,,purple,2,2,77406
595,幽匿尖啸体,magic,,purple,2,2,80598
596,织布机,decoration,,green,2,2,4284
597,制箭台,equipment,,green,2,2,5557
598,制图台,decoration,,green,2,2,4452
599,重生锚,magic,,blue,2,2,23484
600,红石矿石,ore;tech,,gold,2,4,532875
601,金矿石,ore,,blue,2,2,16690
602,可疑的沙砾,ore,,green,1,1,2750
603,可疑的沙子,ore,,gray,1,1,1510
604,绿宝石矿石,ore,,purple,2,2,53870
605,煤矿石,ore,,green,2,2,5330
